timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591152506603,1342,Subscription for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-2,text,true,,606,1890,5,5,http://localhost:9098/v1/api/subscription/Concept101,1342,0,18
1591152506603,1290,Subscription for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-5,text,true,,617,1901,5,5,http://localhost:9098/v1/api/subscription/Concept101,1286,0,18
1591152506603,1410,Subscription for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-3,text,true,,617,1901,5,5,http://localhost:9098/v1/api/subscription/Concept101,1409,0,17
1591152506603,1484,Subscription for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-1,text,true,,621,1905,5,5,http://localhost:9098/v1/api/subscription/Concept101,1481,0,17
1591152506603,1524,Subscription for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-4,text,true,,603,1887,5,5,http://localhost:9098/v1/api/subscription/Concept101,1524,0,18
1591152508307,6581,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-3,text,true,,1521790,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/78007220225570240400525752T552072D5DD725T5T2202422202050T2480400?size=2000000,4426,0,0
1591152508420,8156,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-4,text,true,,1907754,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/25252TB020222DTBT2D0BT22D5058DB022T0545DTT2525505B0D78422B004525?size=2000000,6467,0,0
1591152508254,10915,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-2,text,true,,1451724,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/507200DT02D80252T0202275200000B050700204B2772B0D42B88D022252DDT2?size=2000000,8320,0,0
1591152508254,11549,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-5,text,true,,1848221,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/5TBD2D52522DTT544T80022224054804T520T2B28000TD808050T0025D0B0072?size=2000000,8320,0,0
1591152508381,11422,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-1,text,true,,308,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/T02B20T22202B5T252T042B82BTT884825802224B08252000B20D255500DBB02?size=2000000,11420,0,0
1591152515183,10641,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-3,text,true,,1521790,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/78007220225570240400525752T552072D5DD725T5T2202422202050T2480400?size=2000000,8943,0,3
1591152519459,7553,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-2,text,true,,1451724,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/507200DT02D80252T0202275200000B050700204B2772B0D42B88D022252DDT2?size=2000000,6356,0,5
1591152520092,8776,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-5,text,true,,1856165,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/5TBD2D52522DTT544T80022224054804T520T2B28000TD808050T0025D0B0072?size=2000000,6918,0,5
1591152520092,10699,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-1,text,true,,308,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/T02B20T22202B5T252T042B82BTT884825802224B08252000B20D255500DBB02?size=2000000,10699,0,5
1591152516873,13933,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-4,text,true,,1909302,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/25252TB020222DTBT2D0BT22D5058DB022T0545DTT2525505B0D78422B004525?size=2000000,11999,0,5
1591152526111,12654,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-3,text,true,,1521790,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/78007220225570240400525752T552072D5DD725T5T2202422202050T2480400?size=2000000,10246,0,6
1591152529157,9884,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-5,text,true,,1854181,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/5TBD2D52522DTT544T80022224054804T520T2B28000TD808050T0025D0B0072?size=2000000,6314,0,1
1591152531088,9632,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-4,text,true,,1903109,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/25252TB020222DTBT2D0BT22D5058DB022T0545DTT2525505B0D78422B004525?size=2000000,8032,0,4
1591152531082,11074,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-1,text,true,,308,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/T02B20T22202B5T252T042B82BTT884825802224B08252000B20D255500DBB02?size=2000000,11073,0,5
1591152527300,14859,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-2,text,true,,1451724,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/507200DT02D80252T0202275200000B050700204B2772B0D42B88D022252DDT2?size=2000000,13417,0,1
1591152541009,7518,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-4,text,true,,1912405,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/25252TB020222DTBT2D0BT22D5058DB022T0545DTT2525505B0D78422B004525?size=2000000,5122,0,3
1591152539330,11020,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-5,text,true,,1854181,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/5TBD2D52522DTT544T80022224054804T520T2B28000TD808050T0025D0B0072?size=2000000,9191,0,5
1591152539048,12678,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-3,text,true,,1521790,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/78007220225570240400525752T552072D5DD725T5T2202422202050T2480400?size=2000000,11301,0,2
1591152542437,10741,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-1,text,true,,308,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/T02B20T22202B5T252T042B82BTT884825802224B08252000B20D255500DBB02?size=2000000,10741,0,1
1591152542440,10739,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-2,text,true,,1451724,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/507200DT02D80252T0202275200000B050700204B2772B0D42B88D022252DDT2?size=2000000,9280,0,1
1591152550638,9158,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-5,text,true,,1853182,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/5TBD2D52522DTT544T80022224054804T520T2B28000TD808050T0025D0B0072?size=2000000,6569,0,1
1591152548815,12419,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-4,text,true,,1912405,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/25252TB020222DTBT2D0BT22D5058DB022T0545DTT2525505B0D78422B004525?size=2000000,10218,0,1
1591152553467,8960,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-2,text,true,,1451724,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/507200DT02D80252T0202275200000B050700204B2772B0D42B88D022252DDT2?size=2000000,7757,0,1
1591152553465,10524,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-1,text,true,,308,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/T02B20T22202B5T252T042B82BTT884825802224B08252000B20D255500DBB02?size=2000000,10524,0,1
1591152552008,11982,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-3,text,true,,1521790,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/78007220225570240400525752T552072D5DD725T5T2202422202050T2480400?size=2000000,10426,0,1
1591152564277,6045,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-3,text,true,,1521790,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/78007220225570240400525752T552072D5DD725T5T2202422202050T2480400?size=2000000,4552,0,1
1591152562715,8586,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-2,text,true,,1451724,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/507200DT02D80252T0202275200000B050700204B2772B0D42B88D022252DDT2?size=2000000,5260,0,6
1591152561521,12740,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-4,text,true,,1912405,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/25252TB020222DTBT2D0BT22D5058DB022T0545DTT2525505B0D78422B004525?size=2000000,10852,0,4
1591152564276,10711,Data fetch for online data,200,,OnlineData-6-TMS & 5-Objects/Users 1-1,text,true,,308,1741,5,5,http://localhost:9098/v1/api/data/Concept101/TRAFFIC/T02B20T22202B5T252T042B82BTT884825802224B08252000B20D255500DBB02?size=2000000,10711,0,2
